project-key,project-name,repo,github_org,github_repo,gh_repo_visibility
BBSMIG,bbs-migration-demo,calotracker,test-19-yash,522calotracker_bbs-12a,private
BBSMIG,bbs-migration-demo,solid-api,test-19-yash,522solid-api_bbs-12a,private
